No.	NAME	nCL	C%	X%	SpMAD_L	SpDiam_B(m)	ChiA_B(v)	SpMax_B(v)	SpDiam_B(v)	SpMAD_B(v)	SM6_B(v)	ChiA_B(e)	SpMax_B(e)	SpDiam_B(e)	SpMAD_B(e)	ChiA_B(p)	SpMax_B(p)	SpDiam_B(p)	SpMAD_B(p)	SM5_B(p)	SM6_B(p)	ChiA_B(i)	SpMax_B(i)	SpDiam_B(i)	ATS4e	ATS4i	ATS4s	MATS2m	MATS1v	MATS2v	MATS3v	MATS2e	MATS1p	MATS3p	MATS1i	MATS2i	MATS3i	MATS2s	GATS4m	GATS3v	GATS4e	GATS3p	GATS1i	GATS3i	GATS4s	SpMax1_Bh(v)	SpMax1_Bh(p)	SpMax1_Bh(i)	SpMin1_Bh(m)	SpMin1_Bh(v)	SpMin1_Bh(e)	SpMin1_Bh(p)	SpMin1_Bh(i)	P_VSA_LogP_6	P_VSA_m_4	P_VSA_ppp_P	P_VSA_ppp_con	Eta_betaP	Eta_betaP_A	Eta_beta_A	Eta_F_A	Eta_sh_y	SpMax_EA(bo)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMAD_EA(dm)	SpMax_EA(ri)	SpDiam_EA(ri)	SpMAD_EA(ri)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(ri)	SM03_EA	SM05_EA	SM09_EA	SM03_EA(ed)	SM03_EA(bo)	SM04_EA(bo)	SM05_EA(bo)	SM07_EA(bo)	SM08_EA(bo)	SM09_EA(bo)	SM10_EA(bo)	SM11_EA(bo)	SM12_EA(bo)	SM13_EA(bo)	SM14_EA(bo)	SM15_EA(bo)	SM03_EA(dm)	SM05_EA(dm)	SM07_EA(dm)	SM09_EA(dm)	SM11_EA(dm)	SM13_EA(dm)	SM15_EA(dm)	SM03_EA(ri)	SM04_EA(ri)	SM05_EA(ri)	SM06_EA(ri)	SM08_EA(ri)	SM09_EA(ri)	SM10_EA(ri)	SM11_EA(ri)	SM12_EA(ri)	SM13_EA(ri)	SM14_EA(ri)	SM15_EA(ri)	SM04_AEA(bo)	SM05_AEA(bo)	SM06_AEA(bo)	SM07_AEA(bo)	SM08_AEA(bo)	SM11_AEA(ri)	Eig01_EA(bo)	Eig05_EA(dm)	Eig01_EA(ri)	Eig01_AEA(bo)	Eig01_AEA(ri)	SpPosA_RG	SpMAD_RG	WiA_G/D	Chi_G/D	TDB04u	TDB02m	TDB03m	TDB01e	TDB02e	TDB04e	TDB01i	TDB02i	TDB03i	TDB04i	Mor23m	Mor24m	Mor13p	G2v	G2e	G2p	G2i	HATS3u	HATS4u	HATS3m	HATS0v	HATS2v	HATS3v	HATS4v	HATS0e	HATS2e	HATS3e	HATS4e	HATS2p	HATS3p	HATS4p	HATSp	HATS2i	HATS3i	HATS4i	HATS3s	HATS4s	R3m	R2m+	R3m+	R4v	R3v+	R3e+	R2p+	R3p+	R4s	R4s+	nCconj	nR=Ct	nR=CX2	C-017	C-018	C-020	H-048	NdssC	NsCl	CATS2D_03_AL	B02[C-C]	B02[Cl-Cl]	B03[Cl-Cl]	F02[Cl-Cl]	F03[Cl-Cl]	Ui	Molecule	U	V
17	*****	0	38.5	0.0	1.359	5.124	0.297	3.505	5.121	1.614	7.794	0.280	3.620	5.124	1.615	0.306	3.472	5.146	1.627	6.510	7.709	0.281	3.616	5.120	2.988	3.139	4.898	0.285	-0.171	0.460	-0.408	0.074	-0.324	-0.737	-0.328	0.275	-0.812	0.064	1.765	1.253	1.912	1.693	1.412	1.806	2.029	3.578	3.556	3.722	1.741	1.778	1.622	1.806	1.604	0.000	0.000	0.000	51.289	6.000	0.750	1.312	0.771	0.280	3.426	5.676	1.702	1.060	2.645	4.334	1.218	4.117	1.495	3.676	2.565	4.796	8.869	5.666	3.219	5.323	5.994	8.558	9.915	11.058	12.339	13.536	14.787	16.004	17.244	18.470	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	-0.000	2.546	4.200	4.734	5.944	7.820	8.737	9.742	10.694	11.679	12.644	13.621	14.591	6.118	7.434	8.774	10.131	11.501	3.426	3.426	0.000	2.645	4.117	3.676	0.413	0.826	1.044	0.929	3.842	1.425	2.277	1.339	2.424	4.497	1.433	2.756	3.768	5.257	0.006	0.101	-0.095	0.213	0.213	0.213	0.242	0.255	0.706	0.182	0.215	0.107	0.132	0.188	1.159	0.774	0.282	0.854	0.158	0.118	0.176	2.305	1.203	0.312	1.032	2.549	6.840	0.399	0.061	0.079	0.245	0.049	0.079	0.061	0.040	7.839	2.956	3	1	0	1	0	0	0	2	0	3	1	0	0	0	0	2.322	Acrylate,a_cyano-,methyl.mol2	-1.09	1.20
18	*****	0	42.9	0.0	1.207	4.547	0.309	3.216	4.553	1.748	7.102	0.301	3.315	4.547	1.747	0.311	3.189	4.568	1.751	5.911	7.049	0.299	3.354	4.558	1.158	1.415	2.565	-0.109	-0.173	-0.280	0.034	0.085	-0.205	-0.025	-0.210	-0.404	-0.207	0.028	2.207	0.839	3.997	0.835	1.130	0.939	3.875	3.434	3.433	3.614	1.731	1.707	1.538	1.693	1.487	0.000	0.000	0.000	0.000	4.000	1.000	1.437	0.535	0.000	2.236	4.472	1.491	1.356	1.378	2.757	0.919	3.532	1.253	2.390	0.000	0.000	0.000	-0.000	0.000	3.932	0.000	0.000	7.132	0.000	8.740	0.000	10.350	0.000	11.959	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.107	0.000	2.689	3.298	0.000	3.922	0.000	4.555	0.000	5.192	0.000	5.231	6.433	7.654	8.889	10.132	2.236	2.236	0.000	1.378	3.532	2.390	0.434	0.869	1.094	0.889	4.027	0.880	0.823	1.196	2.150	4.399	1.365	2.672	4.158	6.276	-0.002	0.021	-0.027	0.263	0.263	0.263	0.263	0.757	0.359	0.086	0.203	0.079	0.134	0.072	0.821	0.296	0.738	0.392	0.103	0.178	0.085	1.108	0.413	1.094	0.559	2.864	2.153	0.100	0.069	0.070	0.043	0.045	0.167	0.047	0.037	1.291	0.792	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2.000	Acrylonitrile.mol2	-2.60	0.42
19	*****	1	37.5	12.5	1.312	4.966	0.303	3.262	4.605	1.417	7.191	0.291	3.388	4.611	1.448	0.305	3.246	4.640	1.437	6.010	7.162	0.294	3.351	4.600	1.772	1.902	3.145	0.203	-0.104	-0.103	0.063	0.381	-0.091	0.039	-0.230	-0.367	-0.145	0.233	2.671	0.907	2.673	0.887	1.305	0.909	2.603	3.460	3.462	3.614	1.715	1.709	1.536	1.699	1.507	39.149	39.149	0.000	55.837	3.000	0.600	1.100	0.542	0.196	2.814	4.814	1.671	0.967	1.859	3.349	1.065	3.596	1.389	3.090	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.356	2.893	2.759	3.977	5.125	5.440	6.308	6.733	7.511	8.006	8.728	9.267	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	1.859	3.596	3.090	0.387	0.773	1.127	0.863	3.941	2.765	2.155	1.392	2.583	4.790	1.467	2.804	4.042	5.593	0.121	-0.033	0.085	0.250	0.250	0.250	0.364	0.623	0.507	0.228	0.349	0.200	0.168	0.121	0.876	0.500	0.683	0.618	0.177	0.211	0.166	1.689	0.519	0.863	0.721	3.161	2.789	0.297	0.626	0.148	0.087	0.055	0.163	0.090	0.064	2.225	0.954	3	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1.585	Acryloylchloride.mol2	3.50	1.09
20	*****	0	33.3	0.0	1.323	4.483	0.318	3.143	4.478	1.366	7.296	0.302	3.357	4.483	1.368	0.327	3.073	4.519	1.382	6.097	7.195	0.305	3.310	4.471	2.919	3.141	4.080	0.090	-0.192	-0.090	-0.096	0.217	-0.334	0.052	-0.359	-0.182	0.073	0.177	1.179	0.940	1.244	0.797	1.652	0.801	1.292	3.473	3.466	3.690	1.825	1.813	1.595	1.818	1.553	0.000	0.000	0.000	0.000	2.500	0.357	0.893	0.521	0.158	2.715	4.715	1.558	1.094	2.116	3.684	1.202	3.553	1.336	3.191	1.946	3.714	7.086	4.290	2.565	4.466	4.796	6.889	8.105	8.932	10.045	10.954	12.014	12.965	13.997	14.970	2.243	4.269	6.176	8.025	9.847	11.656	13.458	1.911	3.477	3.571	4.730	6.112	6.687	7.553	8.210	9.024	9.723	10.508	11.230	5.434	6.619	7.826	9.048	10.279	2.715	2.715	-1.096	2.116	3.553	3.191	0.431	0.862	1.020	0.941	3.825	0.934	0.914	1.277	2.254	3.927	1.409	2.690	3.859	4.909	0.110	-0.025	-0.034	0.355	0.204	0.204	0.204	0.775	0.625	0.069	0.130	0.111	0.125	0.113	0.791	0.567	0.788	0.628	0.151	0.161	0.143	2.039	0.822	1.090	0.870	2.493	1.940	0.177	0.100	0.058	0.182	0.031	0.128	0.039	0.026	2.858	0.812	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1.585	Allylacetate.mol2	-0.37	-1.97
21	*****	1	33.3	11.1	1.207	4.437	0.341	2.949	3.883	1.400	6.560	0.336	2.966	3.888	1.404	0.337	2.963	3.887	1.403	5.553	6.601	0.339	2.955	3.884	1.936	2.263	2.582	-0.246	-0.139	-0.324	-0.037	-0.204	-0.106	-0.009	-0.242	-0.283	-0.202	-0.269	1.515	0.890	1.599	0.872	1.468	0.977	1.281	3.441	3.468	3.626	1.787	1.757	1.570	1.717	1.517	0.000	39.149	0.000	0.000	1.000	0.250	0.687	0.280	0.000	1.732	3.464	1.155	0.687	1.183	2.366	0.789	2.802	1.054	2.298	0.000	0.000	0.000	-0.000	0.000	2.944	0.000	0.000	5.094	0.000	6.188	0.000	7.286	0.000	8.384	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.000	1.593	0.000	1.870	2.161	0.000	2.464	0.000	2.776	0.000	3.095	0.000	4.205	5.193	6.203	7.223	8.248	1.732	1.732	0.000	1.183	2.802	2.298	0.414	0.829	1.083	0.887	3.753	1.081	1.137	1.277	2.240	3.686	1.433	2.747	3.971	5.395	0.023	0.014	0.117	0.240	0.240	0.240	0.240	1.059	1.158	0.225	0.390	0.285	0.204	0.149	1.468	1.393	1.021	1.123	0.462	0.313	0.271	2.894	1.855	1.468	1.668	2.515	2.138	0.275	0.143	0.221	0.101	0.082	0.171	0.122	0.093	1.447	0.589	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1.000	Allylchloride.mol2	-0.39	-1.53
22	*****	0	45.5	0.0	1.365	5.216	0.285	3.586	5.219	1.593	8.150	0.281	3.629	5.216	1.590	0.286	3.576	5.230	1.598	6.948	8.130	0.280	3.648	5.223	3.675	3.901	4.694	-0.078	-0.064	-0.118	0.097	-0.040	-0.122	0.153	-0.264	-0.207	0.254	-0.137	1.187	0.822	0.996	0.765	1.349	0.810	0.924	3.839	3.841	3.960	2.022	2.012	1.901	2.004	1.868	23.542	0.000	0.000	50.138	8.500	0.773	1.341	0.761	0.167	3.571	6.571	1.871	0.145	2.664	4.664	1.319	4.091	1.406	3.763	2.565	4.949	9.278	6.071	3.020	5.844	5.901	8.610	10.475	11.250	12.922	13.856	15.405	16.444	17.909	19.019	0.325	0.268	0.188	0.125	0.082	0.054	0.035	2.377	4.567	4.632	6.212	8.010	8.748	9.886	10.738	11.803	12.714	13.740	14.683	6.270	7.527	8.821	10.143	11.487	3.571	3.571	0.000	2.664	4.091	3.763	0.445	0.890	1.025	0.992	4.082	1.129	1.241	1.240	2.230	3.936	1.410	2.664	3.895	4.934	-0.228	0.230	-0.360	1.000	1.000	1.000	1.000	0.205	0.187	0.029	0.063	0.051	0.047	0.068	0.220	0.173	0.189	0.176	0.068	0.062	0.083	1.307	0.234	0.276	0.232	0.358	0.506	0.173	0.030	0.020	0.237	0.020	0.053	0.030	0.020	1.668	0.195	0	0	0	0	2	0	2	0	0	2	1	0	0	0	0	2.585	Aniline,N,N-divinyl.mol2	-0.08	-0.73
23	*****	1	37.5	12.5	1.312	4.966	0.303	3.262	4.605	1.417	7.191	0.291	3.388	4.611	1.448	0.305	3.246	4.640	1.437	6.010	7.162	0.294	3.351	4.600	1.772	1.902	3.145	0.203	-0.104	-0.103	0.063	0.381	-0.091	0.039	-0.230	-0.367	-0.145	0.233	2.671	0.907	2.673	0.887	1.305	0.909	2.603	3.460	3.462	3.614	1.715	1.709	1.536	1.699	1.507	39.149	39.149	0.000	55.837	3.000	0.600	1.100	0.542	0.196	2.814	4.814	1.671	0.967	1.859	3.349	1.065	3.596	1.389	3.090	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.356	2.893	2.759	3.977	5.125	5.440	6.308	6.733	7.511	8.006	8.728	9.267	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	1.859	3.596	3.090	0.387	0.773	1.127	0.863	3.941	2.765	2.155	1.392	2.583	4.791	1.467	2.804	4.042	5.593	0.121	-0.033	0.085	0.250	0.250	0.250	0.364	0.623	0.507	0.228	0.349	0.200	0.168	0.121	0.877	0.500	0.682	0.618	0.177	0.211	0.166	1.689	0.519	0.863	0.722	3.161	2.790	0.297	0.626	0.148	0.087	0.055	0.163	0.090	0.064	2.225	0.954	3	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1.585	acryloylchloride	-3.50	1.09
24	*****	0	47.4	0.0	1.386	5.980	0.268	3.891	5.584	1.594	8.548	0.267	3.918	5.592	1.599	0.264	3.965	5.661	1.617	7.400	8.678	0.269	3.915	5.594	3.305	3.461	4.335	0.203	0.038	-0.034	0.086	0.336	0.062	0.016	-0.014	-0.216	0.015	-0.080	1.302	0.870	1.709	1.000	0.837	0.978	1.029	3.992	4.051	4.050	1.980	1.979	1.898	1.963	1.880	12.517	63.497	0.000	37.905	9.500	0.792	1.375	0.619	0.228	4.401	7.401	2.086	0.454	2.707	4.707	1.285	4.458	1.471	3.883	2.944	5.352	9.828	6.389	4.007	6.552	7.231	10.295	11.977	13.302	14.871	16.285	17.805	19.257	20.756	22.225	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.584	4.638	4.770	6.286	8.115	8.902	10.031	10.921	11.986	12.928	13.960	14.928	6.634	7.970	9.343	10.746	12.172	4.401	4.401	0.000	2.707	4.458	3.883	0.394	0.789	1.134	0.961	4.434	2.986	2.849	1.374	2.421	4.484	1.439	2.610	3.808	5.190	-0.263	0.453	-0.018	0.191	0.191	0.191	0.191	0.317	0.254	0.146	0.114	0.119	0.117	0.112	0.269	0.226	0.305	0.247	0.173	0.173	0.167	2.150	0.268	0.389	0.300	0.610	0.560	0.438	0.308	0.073	0.229	0.032	0.068	0.117	0.045	1.153	0.138	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	2.807	Benzothiazole,vinylmercapto-.mol2	-0.38	-0.38
25	*****	0	38.5	0.0	1.323	4.746	0.304	3.318	4.740	1.494	7.525	0.290	3.437	4.745	1.499	0.312	3.288	4.784	1.525	6.314	7.459	0.293	3.407	4.732	2.735	2.955	4.089	-0.021	-0.034	-0.306	-0.088	0.370	-0.001	-0.079	0.002	-0.307	-0.079	0.340	0.933	1.014	0.996	0.982	1.138	0.975	1.013	3.588	3.589	3.732	1.852	1.826	1.676	1.819	1.643	0.000	0.000	0.000	70.250	4.500	0.643	1.143	0.660	0.158	2.928	5.382	1.717	0.479	2.215	3.997	1.252	3.671	1.401	3.234	1.946	3.714	7.086	4.290	2.565	4.875	4.949	7.225	8.841	9.459	10.913	11.669	13.009	13.861	15.122	16.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.911	3.702	3.664	5.072	6.546	7.020	8.069	8.659	9.618	10.281	11.183	11.893	5.620	6.830	8.061	9.308	10.567	2.928	2.928	0.000	2.215	3.671	3.234	0.452	0.903	1.025	0.942	3.738	1.210	1.052	1.278	2.327	3.894	1.390	2.632	3.832	4.781	-0.025	0.008	-0.174	0.213	0.269	0.269	0.213	0.362	0.291	0.035	0.101	0.074	0.065	0.064	0.451	0.263	0.384	0.290	0.069	0.078	0.076	0.977	0.303	0.510	0.397	1.397	0.960	0.098	0.179	0.019	0.124	0.019	0.116	0.031	0.019	1.854	0.333	5	0	0	0	0	0	0	1	0	2	1	0	0	0	0	2.000	butadiene,1-carboxylicacid.mol2	-2.00	0.94
26	*****	1	40.0	10.0	1.312	4.985	0.298	3.307	4.594	1.420	7.273	0.295	3.325	4.599	1.438	0.295	3.322	4.598	1.435	6.137	7.302	0.297	3.313	4.595	2.189	2.445	3.145	0.128	-0.100	0.031	-0.356	0.064	-0.078	-0.394	-0.162	-0.232	-0.155	0.261	1.523	1.252	1.437	1.355	1.230	0.959	1.742	3.546	3.567	3.676	1.794	1.772	1.628	1.740	1.592	0.000	39.149	0.000	44.511	3.000	0.600	1.050	0.507	0.184	2.814	4.814	1.671	0.000	1.768	3.198	1.015	3.596	1.389	3.029	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.224	2.713	2.501	3.691	4.735	4.973	5.813	6.166	6.912	7.340	8.026	8.502	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	1.768	3.596	3.029	0.409	0.818	1.084	0.894	3.816	1.833	1.404	1.271	2.253	3.772	1.409	2.660	3.969	4.962	-0.041	0.018	0.059	0.231	0.231	0.231	0.231	0.561	0.468	0.242	0.275	0.098	0.182	0.106	0.625	0.265	0.621	0.492	0.125	0.265	0.171	1.706	0.355	0.762	0.638	2.305	1.425	0.325	0.246	0.205	0.111	0.076	0.143	0.103	0.086	1.468	0.487	4	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1.585	Butadiene,2-chloro-.mol2	-2.18	1.44
27	*****	0	40.0	10.0	1.312	4.619	0.307	3.270	4.603	1.448	7.204	0.292	3.349	4.609	1.459	0.317	3.249	4.629	1.486	6.013	7.167	0.291	3.362	4.616	2.228	2.524	3.434	0.113	-0.150	-0.150	-0.219	0.017	-0.166	-0.080	-0.106	-0.363	-0.042	0.143	1.503	1.017	1.374	0.940	0.977	1.225	1.512	3.526	3.527	3.697	1.810	1.787	1.622	1.776	1.578	14.960	0.000	0.000	50.131	3.000	0.600	1.050	0.581	0.219	2.814	4.814	1.671	0.000	1.982	3.431	1.138	3.596	1.389	3.094	1.946	3.714	6.940	4.290	2.565	4.419	4.949	7.140	8.342	9.262	10.378	11.355	12.430	13.436	14.491	15.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.649	3.060	3.211	4.266	5.556	6.097	6.885	7.493	8.232	8.876	9.590	10.252	5.252	6.480	7.728	8.989	10.257	2.814	2.814	0.000	1.982	3.596	3.094	0.427	0.855	1.053	0.917	3.743	1.119	0.887	1.243	2.250	3.825	1.418	2.745	4.279	5.247	-0.137	-0.032	-0.085	0.231	0.231	0.231	0.231	0.537	0.459	0.114	0.100	0.067	0.110	0.075	0.604	0.282	0.636	0.504	0.071	0.103	0.091	0.838	0.394	0.879	0.715	3.520	2.010	0.196	0.133	0.108	0.090	0.044	0.163	0.031	0.030	2.266	0.966	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1.585	Butadiene,2-fluoro-.mol2	-1.32	0.51
28	*****	0	35.7	0.0	1.340	4.891	0.311	3.394	4.885	1.419	8.063	0.297	3.511	4.891	1.422	0.319	3.361	4.924	1.441	6.839	7.972	0.299	3.483	4.879	3.733	3.875	5.142	0.064	-0.128	-0.074	0.241	0.187	-0.252	0.237	-0.275	-0.123	0.217	0.190	1.263	0.691	1.434	0.678	1.558	0.702	1.771	3.651	3.643	3.794	1.868	1.870	1.714	1.879	1.691	0.000	0.000	0.000	102.578	6.000	0.429	1.000	0.702	0.158	3.082	5.706	1.629	0.515	2.335	4.242	1.254	3.799	1.389	3.383	2.565	4.615	8.332	5.380	3.219	5.595	5.771	8.137	9.702	10.430	11.849	12.693	14.022	14.941	16.210	17.181	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	2.527	4.493	4.492	5.939	7.492	8.047	9.096	9.757	10.728	11.450	12.374	13.135	6.288	7.522	8.784	10.063	11.355	3.082	3.082	0.000	2.335	3.799	3.383	0.428	0.855	1.018	0.949	3.930	1.047	1.152	1.303	2.295	4.192	1.419	2.683	3.816	4.828	0.011	0.146	-0.160	0.172	0.172	0.172	0.172	0.616	0.205	0.037	0.060	0.075	0.070	0.055	0.459	0.445	0.578	0.229	0.108	0.106	0.058	1.930	0.647	0.887	0.276	1.018	1.041	0.225	0.041	0.035	0.212	0.019	0.080	0.023	0.013	3.410	0.374	6	0	0	0	0	0	0	2	0	4	1	0	0	0	0	2.322	butadiene,dicarboxylate,diethyl	-2.18	0.82
29	*****	0	40.0	0.0	1.207	4.190	0.319	3.096	4.190	1.594	6.875	0.319	3.096	4.190	1.594	0.319	3.096	4.190	1.594	5.781	6.875	0.319	3.096	4.190	2.118	2.456	2.833	-0.306	-0.167	-0.306	-0.097	-0.306	-0.167	-0.097	-0.167	-0.306	-0.097	-0.167	0.937	0.938	0.937	0.937	1.250	0.937	1.406	3.512	3.529	3.678	1.859	1.805	1.640	1.772	1.590	0.000	0.000	0.000	50.486	3.000	0.750	1.125	0.500	0.000	2.000	4.000	1.333	0.000	1.414	2.828	0.943	3.000	1.111	2.414	0.000	0.000	0.000	-0.000	0.000	3.497	0.000	0.000	6.240	0.000	7.625	0.000	9.011	0.000	10.397	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.197	0.000	2.833	3.497	0.000	4.174	0.000	4.860	0.000	5.549	0.000	4.585	5.620	6.677	7.748	8.827	2.000	2.000	0.000	1.414	3.000	2.414	0.454	0.908	1.036	0.930	3.716	0.528	0.437	1.140	2.016	3.414	1.332	2.569	3.797	4.880	-0.089	-0.037	-0.055	1.000	1.000	1.000	1.000	0.514	0.451	0.024	0.061	0.050	0.066	0.056	0.461	0.265	0.463	0.407	0.076	0.109	0.095	0.882	0.391	0.719	0.626	0.775	0.706	0.056	0.025	0.030	0.070	0.030	0.103	0.032	0.030	0.880	0.134	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.585	Butadiene-1-carboxylate,ethyl.mol2	-2.57	0.92
30	*****	0	40.0	0.0	1.299	4.818	0.306	3.352	4.812	1.459	7.839	0.295	3.478	4.817	1.463	0.312	3.320	4.860	1.483	6.648	7.780	0.297	3.447	4.803	3.315	3.514	4.643	0.016	-0.117	-0.156	0.094	0.287	-0.196	0.091	-0.211	-0.196	0.083	0.198	1.040	0.842	1.186	0.846	1.356	0.859	1.270	3.638	3.640	3.781	1.910	1.874	1.723	1.863	1.689	11.771	0.000	0.000	70.241	5.500	0.550	1.075	0.674	0.107	3.027	5.582	1.707	0.372	2.297	4.144	1.224	3.763	1.368	3.350	1.946	3.932	7.639	4.691	2.565	5.220	5.081	7.460	9.198	9.768	11.302	12.043	13.445	14.298	15.612	16.541	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	1.911	4.011	3.810	5.386	6.887	7.354	8.456	9.064	10.065	10.756	11.695	12.438	5.951	7.154	8.382	9.629	10.891	3.027	3.027	0.000	2.297	3.763	3.350	0.438	0.875	1.022	0.945	3.881	1.033	1.170	1.263	2.256	3.992	1.390	2.647	3.848	4.815	-0.086	0.010	-0.203	0.188	0.205	0.188	0.205	0.427	0.315	0.046	0.108	0.101	0.067	0.069	0.893	0.724	0.408	0.316	0.157	0.090	0.084	2.004	1.108	0.600	0.426	0.899	1.125	0.187	0.081	0.035	0.177	0.019	0.108	0.050	0.018	2.377	0.598	5	0	0	0	1	0	1	1	0	2	1	0	0	0	0	2.322	butadiene.mol2	-0.30	0.40
31	*****	0	53.8	0.0	1.428	5.890	0.259	4.052	5.841	1.686	8.875	0.258	4.100	5.889	1.691	0.260	4.039	5.839	1.685	7.566	8.859	0.257	4.119	5.908	4.036	4.226	5.004	-0.008	0.014	-0.054	0.115	0.038	-0.021	0.130	-0.116	-0.153	0.139	-0.153	1.130	0.790	1.367	0.783	1.070	0.886	0.825	4.160	4.153	4.251	2.073	2.050	1.987	2.037	1.970	16.059	0.000	0.000	93.476	13.000	0.867	1.483	0.858	0.324	4.926	7.926	2.225	0.000	3.241	5.241	1.474	4.817	1.526	4.309	3.434	6.019	10.871	7.273	4.559	7.086	7.945	11.174	12.889	14.366	16.000	17.550	19.157	20.734	22.332	23.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.338	5.432	5.861	7.384	9.548	10.601	11.819	12.946	14.136	15.293	16.473	17.641	7.052	8.442	9.876	11.343	12.835	4.926	4.926	0.000	3.241	4.817	4.309	0.433	0.866	1.074	1.018	4.231	1.422	1.655	1.275	2.281	4.138	1.408	2.602	3.823	4.993	-0.522	0.648	-0.604	0.198	0.219	0.198	0.219	0.430	0.340	0.061	0.119	0.109	0.098	0.132	0.503	0.354	0.397	0.321	0.143	0.131	0.157	2.948	0.477	0.576	0.421	0.695	0.786	0.365	0.035	0.027	0.426	0.027	0.074	0.035	0.027	2.394	0.219	1	0	0	0	1	0	1	0	0	4	1	0	0	0	0	3.248	Carbazole,N-vinyl.mol2	-0.25	-0.58
32	*****	0	52.9	0.0	1.339	5.198	0.281	3.598	5.198	1.694	8.195	0.279	3.605	5.198	1.693	0.282	3.597	5.201	1.695	6.974	8.177	0.278	3.609	5.200	3.251	3.505	4.258	-0.241	-0.000	-0.264	-0.116	-0.063	-0.000	-0.112	-0.000	-0.213	-0.086	-0.019	1.033	1.082	0.789	1.076	0.877	0.972	0.763	3.860	3.868	3.949	2.038	2.009	1.918	1.992	1.892	0.000	0.000	0.000	69.519	10.500	1.050	1.575	0.745	0.102	3.514	6.514	1.984	0.407	2.520	4.520	1.330	3.954	1.473	3.520	1.946	4.111	8.139	5.094	2.674	5.867	5.581	8.333	10.423	10.996	12.820	13.608	15.257	16.187	17.718	18.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.946	4.409	4.111	5.956	7.636	8.139	9.387	10.060	11.178	11.951	12.992	13.825	6.314	7.564	8.838	10.129	11.436	3.514	3.514	0.000	2.520	3.954	3.520	0.434	0.868	1.079	0.959	4.076	1.200	1.140	1.243	2.231	3.902	1.371	2.564	3.759	5.026	-0.166	0.151	-0.271	0.236	0.321	0.321	0.321	0.343	0.334	0.047	0.104	0.077	0.080	0.079	0.315	0.179	0.323	0.312	0.091	0.107	0.106	1.436	0.219	0.459	0.446	0.798	0.706	0.192	0.059	0.029	0.194	0.027	0.071	0.037	0.027	1.571	0.292	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2.807	Cinnamonitrile.mol2	-2.74	-0.41
